paperId,title,year,n_citation,abstract
4aefe226-85d2-4005-99bb-1392f063fce2,A survey on optimization metaheuristics,2013,481,"Metaheuristics are widely recognized as efficient approaches for many hard optimization problems. This paper provides a survey of some of the main metaheuristics. It outlines the components and concepts that are used in various metaheuristics in order to analyze their similarities and differences. The classification adopted in this paper differentiates between single solution based metaheuristics and population based metaheuristics. The literature survey is accompanied by the presentation of references for further details, including applications. Recent trends are also briefly discussed."
4af02482-c837-4691-9187-3b57968e7d0b,Will this car change the lane? - Turn signal recognition in the frequency domain,2014,14,
4af38829-8cf3-40a8-93fe-a8b8e7299208,Last mile problem in overlay design,2005,3,"Performance of overlay networks is dependent on last-mile connections, since they require that data traverse these last-mile bottlenecks at each forwarding step. This requires several times more upstream bandwidth than downstream, further exaggerating the asymmetry between down-stream and upstream bandwidth in last-mile technologies. This imbalance can cause packet queuing at the outgoing network interface of forwarding nodes, increasing latency and causing packet losses. We describe a model of a last-mile constrained overlay network and formulate and use it to solve a simplified latency- and bandwidth-bounded overlay construction problem. We observe that queueing delay may be a significant component of the end-to-end delay and approaches ignoring this may potentially result in an overlay network violating the delay and/or loss bounds. We observe that allowing a small amount of loss, it is possible to support a significantly large number of nodes. For a given end to end delay and loss bound we identify feasible degree (fan out) of each nodes. Our study sheds insights which provide engineering guidelines for designing overlays accounting for last mile problem in the Internet."
4af52a40-5d92-40c5-a7b7-546b8f2f7ff6,Ant algorithms for discrete optimization,1999,3517,"This article presents an overview of recent work on ant algorithms, that is, algorithms for discrete optimization that took inspiration from the observation of ant colonies' foraging behavior, and introduces the ant colony optimization (ACO) metaheuristic. In the first part of the article the basic biological findings on real ants are reviewed and their artificial counterparts as well as the ACO metaheuristic are defined. In the second part of the article a number of applications of ACO algorithms to combinatorial optimization and routing in communications networks are described. We conclude with a discussion of related work and of some of the most important aspects of the ACO metaheuristic."
4af84d38-c356-47e7-b616-4736e9a6929a,Local histogram of figure/ground segmentations for dynamic background subtraction,2010,7,"We propose a novel feature, local histogram of figure/ground segmentations, for robust and efficient background subtraction (BGS) in dynamic scenes (e.g., waving trees, ripples in water, illumination changes, camera jitters, etc.). We represent each pixel as a local histogram of figure/ground segmentations, which aims at combining several candidate solutions that are produced by simple BGS algorithms to get a more reliable and robust feature for BGS. The background model of each pixel is constructed as a group of weighted adaptive local histograms of figure/ground segmentations, which describe the structure properties of the surrounding region. This is a natural fusion because multiple complementary BGS algorithms can be used to build background models for scenes. Moreover, the correlation of image variations at neighboring pixels is explicitly utilized to achieve robust detection performance since neighboring pixels tend to be similarly affected by environmental effects (e.g., dynamic scenes). Experimental results demonstrate the robustness and effectiveness of the proposedmethod by comparing with four representatives of the state of the art in BGS."
4afa09c8-e827-4e2d-9f9f-87d3f78788d5,Natural hand posture recognition based on Zernike moments and hierarchical classifier,2008,50,"View-independence and user-independence are two fundamental requirements for hand posture recognition during natural human-robot interaction. However only a few research concerns on the two issues simultaneously. The difficulty for natural gesture-based human-robot interaction lies in that appearances of the same hand posture vary with different users from different viewing directions. In this paper, we propose a systematic feature selection approach based on Zernike moments and Isomap dimensionality reduction. A hierarchical classifier based on multivariate decision tree and piecewise linearization is developed to deal with the irregular distribution of the same hand postures. The proposed method is compared with other commonly used ones in hand posture recognition. Experimental results indicate that the proposed method can effectively identify different hand postures, irrespective of viewing directions and users."
4b0861cd-a252-4d12-9dd3-6be1b361b212,Active learning and logarithmic opinion pools for hpsg parse selection,2008,50,"For complex tasks such as parse selection, the creation of labelled training sets can be extremely costly. Resource-efficient schemes for creating informative labelled material must therefore be considered. We investigate the relationship between two broad strategies for reducing the amount of manual labelling necessary to train accurate parse selection models: ensemble models and active learning. We show that popular active learning methods for reducing annotation costs can be outperformed by instead using a model class which uses the available labelled data more efficiently. For this, we use a simple type of ensemble model called the Logarithmic Opinion Pool (LOP). We furthermore show that LOPs themselves can benefit from active learning. As predicted by a theoretical explanation of the predictive power of LOPs, a detailed analysis of active learning using LOPs shows that component model diversity is a strong predictor of successful LOP performance. Other contributions include a novel active learning method, a justification of our simulation studies using timing information, and cross-domain verification of our main ideas using text classification."
4b0f2e43-4140-4580-aafd-c15c6901e28f,Content and geographical locality in user-generated content sharing systems,2012,31,"User Generated Content (UGC), such as YouTube videos, accounts for a substantial fraction of the Internet traffic. To optimize their performance, UGC services usually rely on both proactive and reactive approaches that exploit spatial and temporal locality in access patterns. Alternative types of locality are also relevant and hardly ever considered together. In this paper, we show on a large (more than 650,000 videos) YouTube dataset that  content locality  (induced by the related videos feature) and  geographic locality , are in fact correlated. More specifically, we show how the geographic view distribution of a video can be inferred to a large extent from that of its related videos. We leverage these findings to propose a UGC storage system that  proactively  places videos close to the  expected  requests. Compared to a caching-based solution, our system decreases by 16% the number of requests served from a different country than that of the requesting user, and even in this case, the distance between the user and the server is 29% shorter on average."
4b10b98d-a397-4360-818f-75a2a4393499,An adaptive focus-of-attention model for video surveillance and monitoring,2007,52,"In current video surveillance systems, commercial pan/tilt/zoom (PTZ) cameras typically provide naive (or no) automatic scanning functionality to move a camera across its complete viewable field. However, the lack of scene-specific information inherently handicaps these scanning algorithms. We address this issue by automatically building an adaptive, focus-of-attention, scene-specific model using standard PTZ camera hardware. The adaptive model is constructed by first detecting local human activity (i.e., any translating object with a specific temporal signature) at discrete locations across a PTZ camera’s entire viewable field. The temporal signature of translating objects is extracted using motion history images (MHIs) and an original, efficient algorithm based on an iterative candidacy-classification-reduction process to separate the target motion from noise. The target motion at each location is then quantified and employed in the construction of a global activity map for the camera. We additionally present four new camera scanning algorithms which exploit this activity map to maximize a PTZ camera’s opportunity of observing human activity within the camera’s overall field of view. We expect that these efficient and effective algorithms are implementable within current commercial camera systems."
4b11c8ce-7bd9-4cb8-bb39-ce968f3eb208,PBM Competition in Pharmaceutical Supply Chain: Formulary Design and Drug Pricing,2015,0,"We model the competition among multiple pharmacy benefit managers (PBMs) for the patronage of a client organization. Each PBM selects a list of prices to be charged to the client organization for each of the branded and generic drugs within a therapeutic class (price decision) and a formulary list that assigns branded drugs to preferred or nonpreferred tiers (formulary decision). Drug manufacturers offer rebates to PBMs for drugs on preferred tier of formularies. The individuals participating in the client’s pharmacy benefit plan are the ones consuming the drugs and making purchasing decisions, whereas the client organization is paying the majority of drug cost. The choices of the individuals and the client organization are governed by different utility measures. For this complex drug distribution setting and for competing PBMs, we show the existence and uniqueness of a pure Nash equilibrium on aggregate formulary and price decisions, which represent the welfare-adjusted cost and welfare-adjusted price of..."
4b16cec4-f2fd-465c-8eeb-477b54bc8669,Bilingual Word Embeddings for Phrase-Based Machine Translation,2013,298,"We introduce bilingual word embeddings: semantic embeddings associated across two languages in the context of neural language models. We propose a method to learn bilingual embeddings from a large unlabeled corpus, while utilizing MT word alignments to constrain translational equivalence. The new embeddings significantly out-perform baselines in word semantic similarity. A single semantic similarity feature induced with bilingual embeddings adds near half a BLEU point to the results of NIST08 Chinese-English machine translation task."
4b21b143-8a52-4a36-9cb1-06f4be2c2250,Sudden event recognition: a survey,2013,50,"Event recognition is one of the most active research areas in video surveillance fields. Advancement in event recognition systems mainly aims to provide convenience, safety and an efficient lifestyle for humanity. A precise, accurate and robust approach is necessary to enable event recognition systems to respond to sudden changes in various uncontrolled environments, such as the case of an emergency, physical threat and a fire or bomb alert. The performance of sudden event recognition systems depends heavily on the accuracy of low level processing, like detection, recognition, tracking and machine learning algorithms. This survey aims to detect and characterize a sudden event, which is a subset of an abnormal event in several video surveillance applications. This paper discusses the following in detail: (1) the importance of a sudden event over a general anomalous event; (2) frameworks used in sudden event recognition; (3) the requirements and comparative studies of a sudden event recognition system and (4) various decision-making approaches for sudden event recognition. The advantages and drawbacks of using 3D images from multiple cameras for real-time application are also discussed. The paper concludes with suggestions for future research directions in sudden event recognition."
4b246597-647b-47cf-a188-68674096228d,Do Automatic Annotation Techniques Have Any Impact on Supervised Complex Question Answering,2009,50,"In this paper, we analyze the impact of different automatic annotation methods on the performance of supervised approaches to the complex question answering problem (defined in the DUC-2007 main task). Huge amount of annotated or labeled data is a prerequisite for supervised training. The task of labeling can be accomplished either by humans or by computer programs. When humans are employed, the whole process becomes time consuming and expensive. So, in order to produce a large set of labeled data we prefer the automatic annotation strategy. We apply five different automatic annotation techniques to produce labeled data using ROUGE similarity measure, Basic Element (BE) overlap, syntactic similarity measure, semantic similarity measure, and Extended String Subsequence Kernel (ESSK). The representative supervised methods we use are Support Vector Machines (SVM), Conditional Random Fields (CRF), Hidden Markov Models (HMM), and Maximum Entropy (Max-Ent). Evaluation results are presented to show the impact."
4b260cf6-8f12-49b0-a09c-ab99187f13ee,Domain Adaptation with Active Learning for Word Sense Disambiguation,2007,113,"When a word sense disambiguation (WSD) system is trained on one domain but applied to a different domain, a drop in accuracy is frequently observed. This highlights the importance of domain adaptation for word sense disambiguation. In this paper, we first show that an active learning approach can be successfully used to perform domain adaptation of WSD systems. Then, by using the predominant sense predicted by expectation-maximization (EM) and adopting a count-merging technique, we improve the effectiveness of the original adaptation process achieved by the basic active learning approach."
4b292ecd-b812-4085-bdb6-ff6a597af6d2,AVCast : New Approaches For Implementing Availability-Dependent Reliability for Multicast Receivers,2006,50,"Today?s large-scale distributed systems consist of collections of nodes that have highly variable availability - a phenomenon sometimes called churn. This availability variation is often a hindrance to achieving reliability and performance for distributed applications such as multicast. This paper looks into utilizing and leveraging availability information in order to provide availability-dependent message reliability for multicast receivers. An application (e.g., a publish-subscribe system) may want to scale the multicast message reliability at each receiver according to that receiver?s availability (in terms of the fraction of time that receiver is online) - different options are that the reliability is independent of the availability, or proportional to it.. We propose several gossip-based algorithms to support several such predicates. These techniques rely on each node?s availability being monitored in a distributed manner by a small group of other nodes in such a way that the monitoring load is evenly distributed in the system. Our techniques are light-weight, scalable, and are space- and timeefficient. We analyze our algorithms and evaluate them experimentally by injecting availability traces collected from real peer-to-peer systems."
4b2b5bd9-568c-43bb-a1eb-336c948599a5,Face recognition through a chaotic neural network model,2014,50,
4b2c9393-df89-4bd9-a25a-806d8dea2b4f,Topology-aware overlay networks for group communication,2002,264,"We propose an application level multicast approach, Topology Aware Grouping (TAG), which exploits underlying network topology information to build efficient overlay networks among multicast group members. TAG uses information about path overlap among members to construct a tree that reduces the overlay relative delay penalty, and reduces the number of duplicate copies of a packet on the same link. We study the properties of TAG, and model and experiment with its economies of scale factor to quantify its benefits compared to unicast and IP multicast. We also compare the TAG approach with the ESM approach in a variety of simulation configurations including a number of real Internet topologies and generated topologies. Our results indicate the effectiveness of the algorithm in reducing delays and duplicate packets, with reasonable algorithm time and space complexities."
4b3226d3-cbeb-4808-862a-d1b66bcb1c79,Pushing the performance of Biased Neighbor Selection through Biased Unchoking,2009,36,"Locality promotion in P2P content distribution networks is currently a major research topic. One of the goals of all discussed approaches is to reduce the interdomain traffic that causes high costs for ISPs. However, the focus of the work in this field is generally on the type of locality information that is provided to the overlay and on the entities that exchange this information. An aspect that is mostly neglected is how this information is used by the peers. In this paper, we consider the predominant approach of Biased Neighbor Selection and compare it with Biased Unchoking, which is an alternative locality aware peer selection strategy that we propose in this paper. We show that both mechanisms complement each other for the BitTorrent file sharing application and achieve the best performance when combined."
4b39234c-6a4f-416b-9f20-de66148190d2,An Experiment in Interoperable Cryptographic Protocol Implementation Using Automatic Code Generation,2007,26,"Spi2Java is a tool that enables semi-automatic generation of cryptographic protocol implementations, starting from verified formal models. This paper shows how the last version of spi2Java has been enhanced in order to enable interoperability of the generated implementations. The new features that have been added to spi2Java are reported here. A case study on the SSH transport layer protocol, along with some experiments and measures on the generated code, is also provided. The case study shows, with facts, that reliable and interoperable implementations of standard security protocols can indeed be obtained by using a code generation tool like spi2Java."
4b3c481a-40ad-41a5-90d2-2bbe9f0d17fb,Mean-Field Analysis of Buffer Sizing,2007,4,"Two schools of thoughts have emerged over the recent debate on internet router buffer sizing. One school argues that the presence of a large number of flows leads to traffic desynchronization which therefore requires a small buffer size. The other school, however, argues that doing so creates instability in the network and thus causes degradation in throughput. In this work, we use theoretical analysis based on a mean-field theory to demonstrate that the missing link between the above two arguments is the fairness in packet dropping at the buffer. This mean-field theory provides a simple and yet quantitative tool to analyze the dynamics between the TCP flows and the queue length. Our analysis shows that, for the widely deployed drop-tail queue management scheme, there is a trade-off between the desynchronization among the flows and the fairness in the packet dropping process."
4b413bb7-3aae-4283-82a3-bbfb53437ba1,On the importance of evaluating storage systems' $Costs,2014,17,"Modern storage systems are becoming more complex, combining different storage technologies with different behaviors. Performance alone is not enough to characterize storage systems: energy efficiency, durability, and more are becoming equally important. We posit that one must evaluate storage systems from a monetary cost perspective as well as performance. We believe that cost should consider the workloads used over the storage systems' expected lifetime. We designed and developed a versatile hybrid storage system under Linux that combines HDD and SSD. The SSD can be used as cache or as primary storage for hot data. Our system includes tunable parameters to enable trading off performance, energy use, and durability. We built a cost model and evaluated our system under a variety of workloads and parameters, to illustrate the importance of cost evaluations of storage systems."
4b43b21f-5c56-4e14-ba95-9528f674dc7d,An approach to feature-based software construction for enhancing maintainability ∗∗,2006,50,"SUMMARY While the way we build software affects significantly its maintenance in terms of the effort and cost, the experience level of the maintainer in a software acquirers’ organization is also one of concern. In this context, often the maintainer is the user of the system. Unfortunately, it is quite possible to lose the trustworthiness of the software due to the inexperience of the maintainer, especially when the maintainer is without the help of the original developers. One remedy for providing security against the effects of the maintainer’s software modifications is to restrict the access to software parts (modules) relative to the experience level of the maintainers. For such a remedy to be successful, the software should be constructed in such a way that its parts under maintenance affect others as little as possible. We propose an approach to software construction aligning the dependencies among software parts in one direction so that they are allocated to maintainers based on their experience level. Our approach decomposes the software into parts based on functionality and orders the parts by essentiality, which indicates how difficult it is to change each part. Then, we align the dependencies in such a way that the less essential functionality is dependent on the more essential functionality. Consequently, any modification on less essential functionality does not affect the essential functionalities. To demonstrate the feasibility of our proposed approach, we applied it to a military application and found that the constructed software enables us to confine maintainers’ activity within a limited working area, and thus the software is safer against maintainers’ modification. Copyright c � 2006 John Wiley & Sons, Ltd. Received 31 January 2005; Revised 30 September 2005; Accepted 14 November 2005"
4b441abd-f312-4a8b-95e9-3e962854a3be,Distributed Non-Coherent Grassmann Space-Time Codes for Wireless Relay Networks,2008,50,"A non-coherent distributed space-time coding scheme for wireless relay networks is presented. The scheme is the counterpart of non-coherent coding based on Grassmann codes, for cooperative wireless networks with relays. It is shown that special classes of Grassmann codes obtained from unitary codes such as Alamouti or Sp(n) codes, can be used as noncoherent distributed space-time codes. The scheme is extended to construct non-coherent distributed space-time codes of large block lengths in a recursive procedure."
4b459414-7ee9-470d-93eb-dbc7ab32db8c,A Cooperative Diversity Scheme with Partial Channel Knowledge at the Cooperating Nodes,2008,0,"We propose a simple cooperative diversity scheme for a communication system consisting of two cooperating nodes that receive a single channel state information (CSI) bit from the destination node. Essentially, the feedback bit tells which cooperating node has the strongest channel, and this information is used appropriately to obtain cooperative diversity. A simple linear receiver is proposed and its performance is shown to be very close to the maximum-likelihood performance. An upper bound on the average error probability is derived for binary phase-shift keying (BPSK) in flat Rayleigh fading channels under the assumption of ideal inter-user channel. In addition, through computer simulations, it is verified that the proposed scheme presents a good error performance when the inter-user channel signal-to-noise ratio is high or when the inter-user channel has a well-defined line-of-sight component. In other words, the new scheme becomes interesting when the cooperating nodes are close to each other. Comparisons with a cooperative scheme based on the Alamouti code are provided."
4b46991e-0c92-4184-be2f-36443d56d1ca,Diversity–Multiplexing Tradeoff of Asynchronous Cooperative Diversity in Wireless Networks,2007,70,"Synchronization of relay nodes is an important and critical issue in exploiting cooperative diversity in wireless networks. In this paper, two asynchronous cooperative diversity schemes are proposed, namely, distributed delay diversity and asynchronous space-time coded cooperative diversity schemes. In terms of the overall diversity-multiplexing (DM) tradeoff function, we show that the proposed independent coding based distributed delay diversity and asynchronous space-time coded cooperative diversity schemes achieve the same performance as the synchronous space-time coded approach which requires an accurate symbol-level timing synchronization to ensure signals arriving at the destination from different relay nodes are perfectly synchronized. This demonstrates diversity order is maintained even at the presence of asynchronism between relay node. Moreover, when all relay nodes succeed in decoding the source information, the asynchronous space-time coded approach is capable of achieving better DM tradeoff than synchronous schemes and performs equivalently to transmitting information through a parallel fading channel as far as the DM tradeoff is concerned. Our results suggest the benefits of fully exploiting the space-time degrees of freedom in multiple antenna systems by employing asynchronous space-time codes even in a frequency-flat-fading channel. In addition, it is shown asynchronous space-time coded systems are able to achieve higher mutual information than synchronous space-time coded systems for any finite signal-to-noise ratio (SNR) when properly selected baseband waveforms are employed."
4b511bda-a698-4429-bc24-6ca629d4368d,Multiuser Cognitive Relay Networks: Joint Impact of Direct and Relay Communications,2014,51,"In this paper, we propose a multiuser cognitive relay network, where multiple secondary sources communicate with a secondary destination through the assistance of a secondary relay in the presence of secondary direct links and multiple primary receivers. We consider the two relaying protocols of amplify-and- forward (AF) and decode-and-forward (DF), and take into account the availability of direct links from the secondary sources to the secondary destination. With this in mind, we propose an optimal solution for cognitive multiuser scheduling by selecting the optimal secondary source, which maximizes the received signal-to-noise ratio (SNR) at the secondary destination using maximal ratio combining. This is done by taking into account both the direct link and the relay link in the multiuser selection criterion. For both AF and DF relaying protocols, we first derive closed-form expressions for the outage probability and then provide the asymptotic outage probability, which determines the diversity behavior of the mul- tiuser cognitive relay network. Finally, this paper is corroborated by representative numerical examples."
4b5319f9-cde6-43b9-b3a5-6072ce4ca2d6,Peeling Back the Layers: Detecting Event Role Fillers in Secondary Contexts,2011,21,"The goal of our research is to improve event extraction by learning to identify secondary role filler contexts in the absence of event keywords. We propose a multi-layered event extraction architecture that progressively ""zooms in"" on relevant information. Our extraction model includes a document genre classifier to recognize event narratives, two types of sentence classifiers, and noun phrase classifiers to extract role fillers. These modules are organized as a pipeline to gradually zero in on event-related information. We present results on the MUC-4 event extraction data set and show that this model performs better than previous systems."
4b561a7b-221d-4cba-bb86-e33fe9ef157c,RASC: Dynamic Rate Allocation for Distributed Stream Processing Applications,2007,10,"In today's world, stream processing systems have become important, as applications like media broadcasting, sensor network monitoring and on-line data analysis increasingly rely on real-time stream processing. In this paper, we propose a distributed stream processing system that composes stream processing applications dynamically, while meeting their rate demands. Our system consists of the following components: (1) a distributed component discovery algorithm that discovers components available at nodes on demand, (2) resource monitoring techniques to maintain current resource availability information, (3) a scheduling algorithm that schedules application execution, and (4) a minimum cost composition algorithm that composes applications dynamically based on component and resource availability and scheduling demands. Our detailed experimental results, over the PlanetLab testbed, demonstrate the performance and efficiency of our approach."
4b56b243-db11-4dab-aa62-3b93e3bfdc36,Still Image Segmentation Tools for Object-based Multimedia Applications,2004,95,"In this paper, a color image segmentation al- gorithm and an approach to large-format image segmen- tation are presented, both focused on breaking down im- ages to semantic objects for object-based multimedia ap- plications. The proposed color image segmentation algo- rithm performs the segmentation in the combined intensity- texture-position feature space in order to produce con- nected regions that correspond to the real-life objects shown in the image. A preprocessing stage of conditional image fil- tering and a modified K-Means-with-connectivity-constraint pixel classification algorithm are used to allow for seamless integration of the different pixel features. Unsupervised op- eration of the segmentation algorithm is enabled by means of an initial clustering procedure. The large-format image seg- mentation scheme employs the aforementioned segmenta- tion algorithm, providing an elegant framework for the fast segmentation of relatively large images. In this framework, the segmentation algorithm is applied to reduced versions of the original images, in order to speed-up the completion of the segmentation, resulting in a coarse-grained segmen- tation mask. The final fine-grained segmentation mask is produced with partial reclassification of the pixels of the original image to the already formed regions, using a Bayes classifier. As shown by experimental evaluation, this novel scheme provides fast segmentation with high perceptual seg- mentation quality."
4b589661-cd7b-4d9c-b806-8f20c08324cf,Efficiency of emergent constraint satisfaction in small-world and random agent networks,2003,10,"In this paper, we study the efficiency of emergent constraint satisfaction in small-world and random agent networks. We find that emergent constraint satisfaction in a small-world network is less efficient than in some other networks (e.g., regular networks). Further, we find that this finding holds in almost all random networks. Based on these observations, we study the relationship between the efficiency of emergent constraint satisfaction and the randomness of the corresponding network from which the constraint satisfaction problem is generated."
4b591abe-a3b0-42d9-b4a5-209663b4b2e2,GA-fisher: a new LDA-based face recognition algorithm with selection of principal components,2005,106,"This paper addresses the dimension reduction problem in Fisherface for face recognition. When the number of training samples is less than the image dimension (total number of pixels), the within-class scatter matrix (Sw) in linear discriminant analysis (LDA) is singular, and principal component analysis (PCA) is suggested to employ in Fisherface for dimension reduction of Sw so that it becomes nonsingular. The popular method is to select the largest nonzero eigenvalues and the corresponding eigenvectors for LDA. To attenuate the illumination effect, some researchers suggested removing the three eigenvectors with the largest eigenvalues and the performance is improved. However, as far as we know, there is no systematic way to determine which eigenvalues should be used. Along this line, this paper proposes a theorem to interpret why PCA can be used in LDA and an automatic and systematic method to select the eigenvectors to be used in LDA using a genetic algorithm (GA). A GA-PCA is then developed. It is found that some small eigenvectors should also be used as part of the basis for dimension reduction. Using the GA-PCA to reduce the dimension, a GA-Fisher method is designed and developed. Compared with the traditional Fisherface method, the proposed GA-Fisher offers two additional advantages. First, optimal bases for dimensionality reduction are derived from GA-PCA. Second, the computational efficiency of LDA is improved by adding a whitening procedure after dimension reduction. The Face Recognition Technology (FERET) and Carnegie Mellon University Pose, Illumination, and Expression (CMU PIE) databases are used for evaluation. Experimental results show that almost 5% improvement compared with Fisherface can be obtained, and the results are encouraging."
