paperId,venueId,venueName
4ca0fb7c-6479-4a59-bffa-fb276d33c1ef,V108,IEEE Transactions on Information Theory
4ca1b4db-822b-4668-8a2f-b28246850b14,V80,IEEE Journal on Selected Areas in Communications
4ca3597c-64ba-4831-b4c3-9b947a16fbf0,V515,international conference on software engineering
4ca743b2-722d-4ca3-a223-8bc63de0b5c4,V631,symposium on the theory of computing
4caa2348-6792-4ce4-aff8-f0e2081a6b33,V559,meeting of the association for computational linguistics
4cad50d5-d6d1-4d20-bf6e-fbb9084d8200,V116,IEEE Transactions on Parallel and Distributed Systems
4caddb32-d8cf-4f5b-b32a-bf3e64133ecf,V215,Machine Learning
4cb1a464-0cba-4eed-a29c-48e7d54086e4,V493,international conference on internet and web applications and services
4cb2f8d6-892a-4505-8ace-ab9a5ae6ccd7,V123,IEEE Transactions on Vehicular Technology
4cb34b17-5c8d-4fc3-a863-a1b83002c67f,V274,Theoretical Computer Science
4cb7242c-b212-44e7-b211-f5cf9a89ecab,V215,Machine Learning
4cbf425b-426a-4c71-9327-aab6062880c6,V252,SIAM Journal on Scientific Computing
4cc0791a-d37b-44af-b364-8523a5448739,V603,real-time systems symposium
4cc10aa0-0832-4be1-919e-4627078de7ab,V284,acm special interest group on data communication
4cc23604-dea8-4ed7-b167-bb19b7ad1db4,V349,computer vision and pattern recognition
4cc5db61-378f-47b2-ad2b-af7e6bac279f,V222,Medical & Biological Engineering & Computing
4cc882ee-6124-4e3b-8be1-4f98ad02a41e,V96,IEEE Transactions on Communications
4cce985b-b89b-49dd-a96d-539f392b6915,V254,Scientific Programming
4cdc6a66-d096-4a83-8347-b403b2c5d549,V113,IEEE Transactions on Multimedia
4cdf0507-0c23-490a-aa7a-8234abc167de,V525,international parallel and distributed processing symposium
4cdf889d-7e1a-4c45-8f32-c7c183d55a71,V649,vision modeling and visualization
4ce152fb-7b46-4d96-b205-9032df1f1031,V593,"personal, indoor and mobile radio communications"
4ce1d729-e666-4546-b918-13717eb97618,V241,Pattern Recognition
4ce589c7-b12c-4c4e-bb59-37c292e999a6,V589,"parallel, distributed and network-based processing"
4ce80cdc-1fb3-4a8a-ab18-197ff741d93f,V532,international symposium on computer and information sciences
4ceac340-f221-4c48-9961-4bee4a98a2b9,V329,canadian conference on computer and robot vision
4cefb011-91ae-473b-acf1-a7754e70e94d,V96,IEEE Transactions on Communications
4cf0228f-eab7-4e37-bf96-ade844559264,V116,IEEE Transactions on Parallel and Distributed Systems
4cf6bdcd-1423-4087-9030-931601a0ebb9,V462,international conference on computer communications
4cf9cca8-79f9-4920-83bd-64730e4dea79,V500,international conference on multimodal interfaces
4cfc28a4-b309-449c-be66-a660f51b1d69,V516,international conference on software maintenance
4cfe2ee0-49ca-4f14-aefe-b3cdcf0c5f90,V477,international conference on document analysis and recognition
4d011f2e-6042-40fb-be4c-cdcc3df2d410,V508,international conference on pattern recognition
4d017505-2dae-4f2d-a5b4-ff97920fbf69,V507,international conference on parallel processing
4d058365-1e30-4575-878d-731937e833c4,V642,usenix technical conference
4d06ddbe-3427-402c-9e76-bf153b8c7232,V15,Advances in Computational Mathematics
4d0a1b85-f53b-41c5-ae54-8aa4d02abefc,V363,conference on recommender systems
4d0a5db3-b222-46bf-a219-3d8efc90322c,V623,symposium on cloud computing
4d0aeef3-25df-43bf-b85f-3020daf6631b,V619,spoken language technology workshop
4d0c2376-418d-4795-ac37-719dfd27f6ad,V566,mobile lightweight wireless systems
4d0d88b1-0bc6-4fd8-9835-11e69b0a0fd5,V221,Mathematics of Operations Research
4d16788b-1be5-40ee-8faa-556ba94335f0,V305,arXiv: Data Structures and Algorithms
4d263717-633f-48bf-a9c3-504b52628d57,V571,national conference on artificial intelligence
4d2a2e62-4502-4674-a861-5e6f04030757,V29,Biological Cybernetics
4d319a8d-1794-444f-bb07-3f8ca67625b3,V201,Journal of Network and Computer Applications
4d3530b0-ce44-4f65-802a-13473987eee2,V412,global communications conference
4d3ef48a-f35f-4319-a666-e748a287621b,V409,frontier of computer science and technology
4d48a0e2-ad3c-4c91-bb48-bc28f812cc40,V237,Operations Research
4d4adc95-1cb4-4b11-8f36-3974b3ca962d,V2,ACM Sigsoft Software Engineering Notes
4d50a0c1-ac2b-45a3-986e-09531e6d16b3,V60,Eurasip Journal on Wireless Communications and Networking
4d55e303-e80b-4d12-a513-14adac09bb2c,V93,IEEE Transactions on Circuits and Systems I-regular Papers
4d5c2ca2-94b3-4b1a-8c32-43129cdd2f25,V349,computer vision and pattern recognition
4d60cc0a-b176-4e3e-bc14-3a845cc78066,V580,"new technologies, mobility and security"
4d66c5fb-27df-47df-9750-ccadbf71278e,V69,Future Internet
4d6a61df-2da9-4a10-8943-f79e004ed68c,V525,international parallel and distributed processing symposium
4d794cf9-b2be-4088-85b0-add4e4731246,V155,International Journal of Geographical Information Science
4d7d646b-dac0-4e2f-8e58-8ce2aa2ba6dd,V110,IEEE Transactions on Intelligent Transportation Systems
4d83b75c-9f41-478e-86ff-b4ad47a2c347,V376,design automation conference
4d83b83a-46b8-4e12-b8d8-bed2b9190fef,V485,international conference on image analysis and processing
4d8469bb-1f78-4cf7-aab3-11836c724489,V430,ieee international conference on high performance computing data and analytics
4d867be0-5a55-409a-b017-be707e74facb,V570,multimedia signal processing
4d86a189-97fd-4b1e-a8c7-c9be049e41f4,V80,IEEE Journal on Selected Areas in Communications
4d8a6cac-dad6-43fc-b2ce-12b58456880a,V450,international conference on acoustics speech and signal processing
4d8a8602-c3d6-455f-b37b-d650db0f6634,V412,global communications conference
4d8bf05c-fdc2-4a0b-8715-926ece6a6192,V488,international conference on image processing
4d8c4a8c-f7f0-4063-a576-e28326f6ced3,V645,very large data bases
4d919ef6-83aa-4f99-a96b-f96758216021,V451,"international conference on acoustics, speech, and signal processing"
4d947239-3ff6-4f2b-b602-e2990b2d804d,V136,Iet Computers and Digital Techniques
4d94763f-d134-4d21-b542-2653cd7e0d14,V540,international symposium on object component service oriented real time distributed computing
4d968888-1fa3-42eb-bed4-8cefc6a40522,V487,international conference on image and graphics
4d995bfe-e85d-498c-8589-b7e877669cf5,V380,digital image computing: techniques and applications
4d9a90ca-1562-40a1-9483-e0a1748ee62c,V605,robot and human interactive communication
4d9aadc1-cd03-4887-8e59-619dc2166cd9,V425,human factors in computing systems
4d9ad04c-607b-496b-94cf-00dbe174dc1b,V377,"design, automation, and test in europe"
4d9c8670-fc96-402c-b6eb-3990c8e13482,V637,traffic monitoring and analysis
4d9ce336-c927-494e-ae7a-aff5173a9147,V108,IEEE Transactions on Information Theory
4d9d29ec-081e-439f-918f-5bc11cc32a78,V129,IEEE\/ACM Transactions on Networking
4dab56e2-7b76-406c-a101-4e8b4da5d4f8,V120,IEEE Transactions on Signal Processing
4db07e17-cfcf-4e62-bec4-9a5581bc4dce,V347,computer security foundations workshop
4dc06d03-5121-49f1-b56c-1aa777f244ff,V588,parallel problem solving from nature
4dc2071b-216d-4714-9efe-bbd529b5cff7,V489,international conference on information systems
4dc367df-e9e0-4989-b526-2369961d6678,V425,human factors in computing systems
4dc837fa-804c-46e9-b619-e3a019c3c027,V466,international conference on computer vision
4dc85c4b-e71c-4e55-85ad-4c04364bb5d7,V663,workshops on enabling technologies: infrastracture for collaborative enterprises
4dc912a4-2ebb-4a39-bb87-13e25d5365cc,V359,conference on information sciences and systems
4dca8e50-8a94-4ebd-b629-117422996e61,V536,international symposium on information theory
4dcc76cb-8d99-4eb3-8cac-3613900cc84c,V311,arXiv: Probability
4dccd3ae-52d0-46b0-9d9b-f263a1beabad,V536,international symposium on information theory
4dd675e1-e3ec-4e9c-828f-fdb37205d53f,V461,international conference on computer aided design
4ddf4ff1-3ec7-4ad7-8a5b-550b0dc9ee88,V497,international conference on management of data
4ddff46d-2f22-43e9-8f2f-463e0705c644,V499,international conference on multimedia and expo
4de0504a-3c19-4a94-a405-f43dc337ca72,V524,international joint conference on natural language processing
4de1f1ca-241e-4fe8-b4c0-b37e95b6e68b,V52,Electronic Proceedings in Theoretical Computer Science
4de313fc-3b32-4d97-bb85-b2877fe73719,V20,Annals of Mathematics and Artificial Intelligence
4df004e1-b013-4da9-8157-0999add3a12b,V515,international conference on software engineering
4dfdb9d0-e118-40a5-bb66-f89914249091,V559,meeting of the association for computational linguistics
4e00e088-f844-467d-8645-f7297eafbfc6,V116,IEEE Transactions on Parallel and Distributed Systems
4e03188d-67cd-489f-8d5e-c230c9eb8d58,V475,international conference on distributed computing systems
4e098920-df1b-4f4a-8cb9-3a959d0d747b,V538,international symposium on multimedia
4e0d2e71-a644-425d-a812-616b1bb7b639,V11,ACM Transactions on Sensor Networks
4e150eeb-3721-4f79-ade6-8ca9ff9537c4,V357,conference on emerging network experiment and technology
4e1c1097-2393-4b1b-a89a-72753eb30e3d,V11,ACM Transactions on Sensor Networks
4e1d4f34-6d73-41a4-b22c-2ae91ecaefea,V581,north american chapter of the association for computational linguistics
4e1e6db6-97e9-4768-af8e-72a9e9d03b97,V499,international conference on multimedia and expo
4e336024-5b1a-48d0-ba16-ad933cee3e0e,V65,Frontiers in Neurorobotics
4e35b9bd-8ee9-4f78-b07c-1b31f7d3b25c,V272,The International Journal of Robotics Research
4e39e081-f9bd-4094-adb7-065b33d7245b,V129,IEEE\/ACM Transactions on Networking
4e46ca08-b546-4048-a749-0b3f84f0391e,V497,international conference on management of data
4e4810d7-7d3d-4462-9fa2-bf1e4b5b6e6a,V639,ubiquitous computing
4e49afc3-4afc-4266-abed-f9c53405a470,V375,dependable systems and networks
4e4bde1a-ac6e-4c8b-aaa9-9affdd075cfb,V337,computational intelligence and security
4e4c0daa-7769-493b-bd89-ddb7a7b16b29,V581,north american chapter of the association for computational linguistics
4e4c3197-ed8d-4510-ac7e-159f6c7d6a5f,V502,international conference on networking
4e4c5cef-911a-4c7a-b6e1-a56dcc3d0a94,V410,fuzzy systems and knowledge discovery
4e4cb910-35d5-438f-9136-f2d0de6faa31,V451,"international conference on acoustics, speech, and signal processing"
4e54bb2a-9cd8-49c5-b0b8-1b0e4bbb4f44,V462,international conference on computer communications
4e559e60-9dc3-40dc-af2a-0878958e3e63,V442,integer programming and combinatorial optimization
4e55d3df-16ff-45cf-bf1f-38054efd97bf,V216,Management Science
4e5c83f6-ee2f-4500-8bb7-7c6c9ca54ecd,V633,systems man and cybernetics
4e6188ab-f737-491d-afaa-33cdf55024fb,V105,IEEE Transactions on Image Processing
4e620ba9-112f-4ff3-a451-e29a18539e05,V283,acm sigplan symposium on principles and practice of parallel programming
4e641c1d-3ef6-4227-a9a8-00da5a7c80e3,V320,asian conference on intelligent information and database systems
4e6486c0-70fe-460f-8935-6aad3824e41e,V498,"international conference on mobile systems, applications, and services"
4e68bc9c-1d72-45b1-9de6-913905fa9b72,V463,international conference on computer communications and networks
4e6b1ae1-4b47-4d56-85c7-8ccf5fec4f19,V349,computer vision and pattern recognition
4e6bd124-36a7-470a-9ce3-fd2619f31834,V54,Engineering Applications of Artificial Intelligence
4e71225e-b29b-43aa-ae79-be094de88720,V473,international conference on data mining
4e71c077-bb04-4818-a20a-43b97325fcd5,V137,Image and Vision Computing
4e737959-d5f0-4372-8fff-07dffd88d713,V598,principles of distributed computing
4e7d2e52-1e67-4cc0-baea-a78f9b7a0aed,V658,working conference on reverse engineering
4e85fc71-7904-43bc-8e71-3acda3be2932,V429,ieee international conference on fuzzy systems
4e8ccf88-e1b5-4b2d-9938-2fa9af7b7ab7,V244,Performance Evaluation
4e8dee20-0814-49d7-8fd9-c6459fbf1a0f,V644,vehicular technology conference
4e8e9a3a-e62a-40cd-9245-165a9f9874b9,V242,Pattern Recognition Letters
4e8ebf50-0d63-436f-b03d-7a6e7e5871e4,V344,computer graphics international
4e90f025-d94f-4b42-9345-503e11899f46,V480,international conference on embedded software and systems
4e936dd6-75d7-4df8-b41f-f9bfaf3758f0,V451,"international conference on acoustics, speech, and signal processing"
4e93e418-d721-405a-addd-883adfdb7c27,V27,Behaviour & Information Technology
4e9abb09-ae34-4955-9cf7-e1f72d414e4a,V219,Mathematical Social Sciences
4ea1cf02-006d-44b0-8573-8e70ec164c2a,V96,IEEE Transactions on Communications
4ea70462-d93e-4a07-bf0f-56bee7e987d6,V43,Computers in Education
4eae873b-17e5-4ed6-8cc1-f38c040ad4e4,V249,Real-time Systems
4eaf2016-a055-4b9e-a6a9-58cad1ed644d,V210,Journal on Multimodal User Interfaces
4eb5af0e-654f-434a-84df-a5e2db569559,V427,ieee international conference on automatic face and gesture recognition
4eb9bfa1-091c-4efe-8b05-5b9eeff03faa,V513,international conference on robotics and automation
4ebb99f8-a790-49c7-8393-e3002e6cdb23,V282,acm multimedia
4ec03195-2b9c-41d9-863b-d983c52eff30,V40,Computer Vision and Image Understanding
4ec1d67b-11f3-453e-bcda-d8e9903eea12,V113,IEEE Transactions on Multimedia
4ec5f96c-acb3-44d4-ad57-d1a49ac28025,V24,Artificial Life
4ec95083-41f7-4d62-b13e-16853b0c8260,V105,IEEE Transactions on Image Processing
4ecbbb00-83c3-41b8-acc0-edc0b72cb675,V109,IEEE Transactions on Instrumentation and Measurement
4eccc314-730b-4b2f-924d-5ba12c470621,V462,international conference on computer communications
4ed0f817-222b-428d-a923-51d1480aa31a,V457,international conference on cloud computing
4ed744e3-45fe-4659-b19c-51bf5c181ffd,V353,conference on computability in europe
4ed7ca0a-185c-4d0d-ac87-1f41e84cf085,V96,IEEE Transactions on Communications
4ed8b7c8-ade6-4a3f-9f71-52e8e700f242,V656,wireless communications and networking conference
4eda6266-46c8-4ea1-ad2f-13eca971e524,V189,Journal of Discrete Algorithms
4edb0f73-c76c-4e7b-ad7a-c8cdcb0f3022,V200,Journal of Multimedia
4eeed634-3606-444a-ac2d-f275c92ad412,V194,Journal of Internet Services and Applications
4ef30c2d-ba44-49fc-a2ec-3f2b28d0b7fc,V488,international conference on image processing
4ef55317-d58c-4a19-9dc4-a5f1ad98113b,V530,international symposium on circuits and systems
4ef666eb-b2c2-4995-8f82-9a186b1b561a,V503,international conference on networks
4efc12ad-de0a-4424-ad53-664bed84ff8b,V112,IEEE Transactions on Mobile Computing
4f06e457-9537-4920-a441-4a8d0a5a1cc2,V607,secure software integration and reliability improvement
4f0fc06e-e821-4787-8bb4-0996b2fe91bd,V80,IEEE Journal on Selected Areas in Communications
4f100565-25a4-423b-b92a-94f86aaeb70a,V96,IEEE Transactions on Communications
4f152f68-d803-4bc1-8810-f8163f4aac59,V96,IEEE Transactions on Communications
4f15c76d-6b42-4176-8eeb-04df86ffbaa7,V228,Multimedia Tools and Applications
4f177f58-4cbb-4137-a741-c3a50a067992,V197,Journal of Machine Learning Research
4f17cb85-8697-4b23-9036-6c16e5cde287,V115,IEEE Transactions on Neural Networks
4f18966b-15cf-4bfa-888e-b81e54a1e2f6,V179,Journal of Cognitive Neuroscience
4f191975-57c5-4397-b138-1ca95657f1b3,V108,IEEE Transactions on Information Theory
4f1c3bf9-9340-4215-b8b6-6a8614acdb5b,V215,Machine Learning
4f1d1d98-2b8a-4be5-92cf-4169dbc8198b,V533,international symposium on computer architecture
4f1e6754-61c1-41c8-b141-cad85fece412,V412,global communications conference
4f1e7b49-f3a7-433a-ba4c-9b7d752f4df6,V192,Journal of Information Science
4f1ede26-ec7e-41ce-9a82-04a33dc6ae33,V154,International Journal of Distributed Sensor Networks
4f210011-6f47-4c0c-bdf9-b7e21000b03d,V121,IEEE Transactions on Software Engineering
4f22802d-2de1-4152-8e47-6d3ba4624c85,V40,Computer Vision and Image Understanding
4f26fa37-f882-4773-b841-edc7a8cec76e,V129,IEEE\/ACM Transactions on Networking
4f281ce8-c50d-4724-8476-49d6b1a1342f,V511,international conference on program comprehension
4f2b55a0-13e4-4317-87a3-6b2d032e4008,V85,IEEE Signal Processing Letters
4f2b695a-dc3c-4304-98aa-471cce2a7539,V660,workshop on applications of computer vision
4f2c70f5-3a99-47e9-a5a3-75728fc4f37e,V108,IEEE Transactions on Information Theory
4f2d4d25-18ca-4de4-afb6-f19cecba6392,V605,robot and human interactive communication
4f2dbf05-8cc8-4444-9ba5-6c5835f10e30,V289,adaptive agents and multi agents systems
4f2f33f2-dcd6-41ca-ae76-167eb144c5a5,V108,IEEE Transactions on Information Theory
4f302c10-c60a-4f8b-8905-6efc851c77f9,V80,IEEE Journal on Selected Areas in Communications
4f359841-d2e8-4fe3-bf0e-52f69acb7e20,V39,Computer Networks
4f36df7e-4ea4-4a32-9cb7-37fd1fa0ddd2,V596,predictive models in software engineering
4f380f9c-f762-488e-ac50-7d6acff4ac5e,V89,"IEEE Transactions on Audio, Speech, and Language Processing"
4f38c8c7-2dcd-4206-96c1-ac55c7815878,V288,ad hoc networks
4f399de8-c601-4ad5-a071-0ccf55a8facd,V559,meeting of the association for computational linguistics
4f3a7706-af92-4b1e-bc7a-8c6eed0ce62b,V476,international conference on distributed smart cameras
4f3bca68-2db6-48ec-81b0-d8bb59846ebd,V550,international world wide web conferences
4f3cd501-b40b-4a32-89ba-246489e4da4a,V184,Journal of Computational Physics
4f40466e-a5d7-48e8-b2ab-ba6ea5b2897e,V217,Manufacturing & Service Operations Management
4f419665-b581-4f24-9319-7ef6a4215ed1,V313,architectural support for programming languages and operating systems
4f42b0ad-9ef4-4e5a-b980-c374d7a2f703,V89,"IEEE Transactions on Audio, Speech, and Language Processing"
4f4b4cde-624a-408d-8abc-868d52428fc7,V40,Computer Vision and Image Understanding
4f4d81fd-6f18-412e-b6ef-bd0d78136499,V21,Annals of Pure and Applied Logic
4f531416-d6d8-4ce3-bd93-12d930e59ce1,V412,global communications conference
4f542ec3-d238-4b1e-a081-1e9b09027d42,V487,international conference on image and graphics
4f587c41-7e10-4e12-bcfe-0661a827aee6,V72,IEEE Communications Letters
4f5f023e-bc99-41c9-8614-290ca3b88c83,V427,ieee international conference on automatic face and gesture recognition
4f618521-dcad-420e-89bc-155553ec4c16,V575,network operations and management symposium
